Guarantee Number,Transaction Report ID,Guarantee Country Name,Amount (USD),Currency Name,End Date,Business Sector,City/Town,State/Province/Region Name,State/Province/Region Code,State/Province/Region Country Name,Region Name,Latitude,Longitude,Is Woman Owned?,Is First Time Borrower?,Business Size
620-DCA-10-004,314368,Nigeria,660.9385,NIGERIA - NAIRA,7/3/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,0,
620-DCA-10-004,314367,Nigeria,1321.8771,NIGERIA - NAIRA,8/3/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,0,
620-DCA-10-004,314370,Nigeria,660.9385,NIGERIA - NAIRA,6/9/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,0,
620-DCA-10-004,314369,Nigeria,660.9385,NIGERIA - NAIRA,7/9/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,0,
620-DCA-10-004,314371,Nigeria,793.1262,NIGERIA - NAIRA,6/9/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,1,
620-DCA-10-004,314372,Nigeria,1487.1117,NIGERIA - NAIRA,6/15/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,0,
620-DCA-10-004,314373,Nigeria,660.9385,NIGERIA - NAIRA,6/16/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,1,
620-DCA-10-004,314374,Nigeria,991.4078,NIGERIA - NAIRA,6/16/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,0,
620-DCA-10-004,314377,Nigeria,991.4078,NIGERIA - NAIRA,6/17/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,0,
620-DCA-10-004,314376,Nigeria,462.657,NIGERIA - NAIRA,6/17/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,1,
620-DCA-10-004,314378,Nigeria,991.4078,NIGERIA - NAIRA,6/17/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,1,
620-DCA-10-004,314380,Nigeria,660.9385,NIGERIA - NAIRA,6/17/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,1,
620-DCA-10-004,314375,Nigeria,991.4078,NIGERIA - NAIRA,6/17/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,1,
620-DCA-10-004,314382,Nigeria,495.7039,NIGERIA - NAIRA,5/17/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,0,
620-DCA-10-004,314379,Nigeria,991.4078,NIGERIA - NAIRA,6/17/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,0,
620-DCA-10-004,314381,Nigeria,793.1262,NIGERIA - NAIRA,6/17/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,0,
620-DCA-10-004,314383,Nigeria,462.657,NIGERIA - NAIRA,6/20/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,1,
620-DCA-10-004,314384,Nigeria,660.9385,NIGERIA - NAIRA,6/29/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,1,
620-DCA-10-004,314385,Nigeria,396.5631,NIGERIA - NAIRA,6/29/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,1,
620-DCA-10-004,314386,Nigeria,1321.8771,NIGERIA - NAIRA,6/30/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,1,
620-DCA-10-004,314387,Nigeria,1660.0266,NIGERIA - NAIRA,10/6/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,0,
620-DCA-10-004,314388,Nigeria,2589.6414,NIGERIA - NAIRA,7/17/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,0,
620-DCA-10-004,314389,Nigeria,996.0159,NIGERIA - NAIRA,7/18/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,0,
620-DCA-10-004,314390,Nigeria,996.0159,NIGERIA - NAIRA,9/19/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,0,
620-DCA-10-004,314391,Nigeria,664.0106,NIGERIA - NAIRA,7/26/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,1,
620-DCA-10-004,314395,Nigeria,1195.2191,NIGERIA - NAIRA,8/27/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,0,
620-DCA-10-004,314394,Nigeria,996.0159,NIGERIA - NAIRA,7/27/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,1,
620-DCA-10-004,314396,Nigeria,1992.0319,NIGERIA - NAIRA,7/27/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,0,
620-DCA-10-004,314393,Nigeria,996.0159,NIGERIA - NAIRA,7/27/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,0,
620-DCA-10-004,314392,Nigeria,996.0159,NIGERIA - NAIRA,7/27/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,1,
620-DCA-10-004,314397,Nigeria,1195.2191,NIGERIA - NAIRA,7/31/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,0,
620-DCA-10-004,314398,Nigeria,1328.0212,NIGERIA - NAIRA,10/1/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,0,
620-DCA-10-004,314399,Nigeria,996.0159,NIGERIA - NAIRA,9/1/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,1,
620-DCA-10-004,314400,Nigeria,996.0159,NIGERIA - NAIRA,11/7/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,0,
620-DCA-10-004,314401,Nigeria,1328.0212,NIGERIA - NAIRA,8/8/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,1,
620-DCA-10-004,314402,Nigeria,1128.8181,NIGERIA - NAIRA,8/8/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,0,
620-DCA-10-004,314403,Nigeria,1328.0212,NIGERIA - NAIRA,8/11/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,1,
620-DCA-10-004,314404,Nigeria,1460.8234,NIGERIA - NAIRA,9/14/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,0,
620-DCA-10-004,314405,Nigeria,796.8127,NIGERIA - NAIRA,8/16/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,1,
620-DCA-10-004,314406,Nigeria,1992.0319,NIGERIA - NAIRA,6/21/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,1,
620-DCA-10-004,314407,Nigeria,996.0159,NIGERIA - NAIRA,9/22/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,0,
620-DCA-10-004,314408,Nigeria,398.4064,NIGERIA - NAIRA,8/22/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,0,
620-DCA-10-004,314409,Nigeria,5312.085,NIGERIA - NAIRA,8/24/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,1,
620-DCA-10-004,314412,Nigeria,1195.2191,NIGERIA - NAIRA,8/28/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,0,
620-DCA-10-004,314410,Nigeria,796.8127,NIGERIA - NAIRA,8/28/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,1,
620-DCA-10-004,314411,Nigeria,1992.0319,NIGERIA - NAIRA,8/28/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,1,
620-DCA-10-004,314413,Nigeria,996.0159,NIGERIA - NAIRA,9/2/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,0,
620-DCA-10-004,314414,Nigeria,1328.0212,NIGERIA - NAIRA,9/8/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,0,
620-DCA-10-004,314416,Nigeria,1494.0239,NIGERIA - NAIRA,10/9/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,0,
